strDrink,strDrinkThumb,idDrink
Arctic Mouthwash,https://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg,17118
Arise My Love,https://www.thecocktaildb.com/images/media/drink/wyrrwv1441207432.jpg,11053
Arizona Antifreeze,https://www.thecocktaildb.com/images/media/drink/dbtylp1493067262.jpg,16354
Arizona Stingers,https://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg,14584
Arizona Twister,https://www.thecocktaildb.com/images/media/drink/ido1j01493068134.jpg,17074
Army special,https://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg,17066
Arthur Tompkins,https://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg,11054
Artillery,https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,11055
Artillery Punch,https://www.thecocktaildb.com/images/media/drink/9a4vqb1493067692.jpg,12870
AT&T,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,13938
Atlantic Sun,https://www.thecocktaildb.com/images/media/drink/doyxqb1493067556.jpg,13423
Atomic Lokade,https://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,13086
Auburn Headbanger,https://www.thecocktaildb.com/images/media/drink/vw7iv91493067320.jpg,17020
Autodafé,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,12756
Autumn Garibaldi,https://www.thecocktaildb.com/images/media/drink/ne7re71604179012.jpg,178337
Avalanche,https://www.thecocktaildb.com/images/media/drink/uppqty1472720165.jpg,16419
Avalon,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,15266
Aviation,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,17180
Aztec Punch,https://www.thecocktaildb.com/images/media/drink/uqwuyp1454514591.jpg,14364
B-52,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,15853
B-53,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,13332
Baby Eskimo,https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg,15511
Baby Guinness,https://www.thecocktaildb.com/images/media/drink/rvyvxs1473482359.jpg,17079
Bacardi Cocktail,https://www.thecocktaildb.com/images/media/drink/n433t21504348259.jpg,17183
Bahama Mama,https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,17267
Bailey's Dream Shake,https://www.thecocktaildb.com/images/media/drink/qxrvqw1472718959.jpg,14510
Balmoral,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,11060
Banana Cream Pi,https://www.thecocktaildb.com/images/media/drink/m5p67n1582474609.jpg,178320
Banana Daiquiri,https://www.thecocktaildb.com/images/media/drink/k1xatq1504389300.jpg,11064
Barracuda,https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,17209
Bee's Knees,https://www.thecocktaildb.com/images/media/drink/tx8ne41582475326.jpg,178317
Belgian Blue,https://www.thecocktaildb.com/images/media/drink/jylbrq1582580066.jpg,14071
Bellini,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,17195
Bellini Martini,https://www.thecocktaildb.com/images/media/drink/3h9wv51504389379.jpg,16176
Bermuda Highball,https://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg,11084
Berry Deadly,https://www.thecocktaildb.com/images/media/drink/zk74k21593351065.jpg,12876
Between The Sheets,https://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg,17184
Bible Belt,https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,16986
Big Red,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,13222
Bijou,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,17254
Black & Tan,https://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,13282
Black and Brown,https://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg,16403
